classification,avg_pnl,median_pnl,avg_win_rate,n_obs
Extreme Fear,4619.4390530625005,218.377399,0.32965914590002776,160
Fear,5328.818161336508,107.89253199999999,0.36403251387116353,630
Neutral,3438.6188179521278,167.551743,0.35541409810875263,376
Greed,3318.100729862654,158.214922,0.3435587568848799,648
Extreme Greed,5161.9226438650185,418.3198625,0.3863873398662182,526
